model,cohort,seed,epoch,loss,seconds,evaluated,valid_coverage@10,valid_coverage@20,valid_hit_rate@10,valid_hit_rate@20,valid_ndcg@10,valid_ndcg@20,valid_recall@10,valid_recall@20,note
lightgcn,active,2020,1,0.678583886154888,0.9,False,,,,,,,,,
lightgcn,active,2020,2,0.659635689779941,1.5,False,,,,,,,,,
lightgcn,active,2020,3,0.6207966310139297,2.1,False,,,,,,,,,
lightgcn,active,2020,4,0.5565478397061651,2.7,False,,,,,,,,,
lightgcn,active,2020,5,0.4769753367364935,3.4,True,0.004269608465364244,0.007800690061043862,0.029914529914529916,0.05128205128205128,0.005621177866812146,0.007918920156668934,0.012505201101692329,0.018782764298396322,best
lightgcn,active,2020,6,0.3987492483476829,4.4,False,,,,,,,,,
lightgcn,active,2020,7,0.3314476817047701,5.0,False,,,,,,,,,
lightgcn,active,2020,8,0.2791302267307754,5.6,False,,,,,,,,,
lightgcn,active,2020,9,0.2383949524393598,6.3,False,,,,,,,,,
lightgcn,active,2020,10,0.20691650853119192,6.9,True,0.00500813533504887,0.00875846709516611,0.02564102564102564,0.05555555555555555,0.0058069049247653215,0.008520412204647098,0.012405804072470739,0.019110717696525163,best
lightgcn,active,2020,11,0.18038276490134858,8.0,False,,,,,,,,,
lightgcn,active,2020,12,0.16222189926129638,8.7,False,,,,,,,,,
lightgcn,active,2020,13,0.1442716652990713,9.3,False,,,,,,,,,
lightgcn,active,2020,14,0.13054771266627685,9.9,False,,,,,,,,,
lightgcn,active,2020,15,0.11941835063471336,10.6,True,0.005954372886832296,0.010685560645749432,0.038461538461538464,0.05982905982905983,0.007346143354750502,0.010194393001450747,0.013441379121203682,0.023384221970029435,best
lightgcn,active,2020,16,0.10824488012686892,11.5,False,,,,,,,,,
lightgcn,active,2020,17,0.09998476927912148,12.1,False,,,,,,,,,
lightgcn,active,2020,18,0.09150314735149485,12.7,False,,,,,,,,,
lightgcn,active,2020,19,0.08455408126088139,13.4,False,,,,,,,,,
lightgcn,active,2020,20,0.07941008925435573,14.0,True,0.007108321120714525,0.012774206949076265,0.038461538461538464,0.05982905982905983,0.00744743133668534,0.010034478324630149,0.013441379121203682,0.023341055260196062,khong cai thien (1/20)
lightgcn,active,2020,21,0.07447273693235067,14.9,False,,,,,,,,,
lightgcn,active,2020,22,0.07021657330239474,15.6,False,,,,,,,,,
lightgcn,active,2020,23,0.06525793221904279,16.2,False,,,,,,,,,
lightgcn,active,2020,24,0.06184817662342722,16.8,False,,,,,,,,,
lightgcn,active,2020,25,0.05866161019976208,17.4,True,0.007685295237655639,0.014124326382718471,0.03418803418803419,0.05982905982905983,0.007164891369591245,0.009965294545523811,0.013398212411370307,0.023341055260196062,khong cai thien (2/20)
lightgcn,active,2020,26,0.05527966796314014,18.4,False,,,,,,,,,
lightgcn,active,2020,27,0.05257331350334344,19.0,False,,,,,,,,,
lightgcn,active,2020,28,0.05091036762698306,19.7,False,,,,,,,,,
lightgcn,active,2020,29,0.048528540334903086,20.3,False,,,,,,,,,
lightgcn,active,2020,30,0.04573318253370536,21.0,True,0.008169953495886175,0.01502440600514661,0.03418803418803419,0.05555555555555555,0.00733215703709657,0.009885210507807956,0.013398212411370307,0.023297888550362685,khong cai thien (3/20)
lightgcn,active,2020,31,0.04482218911468374,22.1,False,,,,,,,,,
lightgcn,active,2020,32,0.043080687534511095,22.7,False,,,,,,,,,
lightgcn,active,2020,33,0.04103389633991046,23.4,False,,,,,,,,,
lightgcn,active,2020,34,0.03930631060603376,24.0,False,,,,,,,,,
lightgcn,active,2020,35,0.03847379777334432,24.6,True,0.008643072271777888,0.015912946145235925,0.029914529914529916,0.05555555555555555,0.006713139470329574,0.009674039654157168,0.01313111839427629,0.023297888550362685,khong cai thien (4/20)
lightgcn,active,2020,36,0.03727946107460187,25.6,False,,,,,,,,,
lightgcn,active,2020,37,0.03586033306984558,26.2,False,,,,,,,,,
lightgcn,active,2020,38,0.03508795056592062,26.8,False,,,,,,,,,
lightgcn,active,2020,39,0.03407612210556181,27.5,False,,,,,,,,,
lightgcn,active,2020,40,0.03271934576542223,28.1,True,0.008908480365570801,0.016582236120887616,0.038461538461538464,0.05555555555555555,0.0073034964640163935,0.009745824925478068,0.01355649034742602,0.023297888550362685,khong cai thien (5/20)
lightgcn,active,2020,41,0.03204802914739469,29.0,False,,,,,,,,,
lightgcn,active,2020,42,0.030689917604612073,29.7,False,,,,,,,,,
lightgcn,active,2020,43,0.029534603317221905,30.3,False,,,,,,,,,
lightgcn,active,2020,44,0.02925919559820923,30.9,False,,,,,,,,,
lightgcn,active,2020,45,0.02838356381604452,31.5,True,0.00920850690638018,0.01700919696742404,0.03418803418803419,0.05982905982905983,0.007596233430979987,0.01100245127491325,0.013500260028037805,0.025434640687114818,best
lightgcn,active,2020,46,0.027703725467393442,32.5,False,,,,,,,,,
lightgcn,active,2020,47,0.027130766952459,33.1,False,,,,,,,,,
lightgcn,active,2020,48,0.02696504097370326,33.8,False,,,,,,,,,
lightgcn,active,2020,49,0.025389273294440844,34.4,False,,,,,,,,,
lightgcn,active,2020,50,0.025471710846853814,35.1,True,0.009450836035495448,0.017643868496059267,0.038461538461538464,0.0641025641025641,0.008036867803690237,0.011373634445149371,0.013555048544364783,0.02582314107561521,best
lightgcn,active,2020,51,0.024887399187456485,36.2,False,,,,,,,,,
lightgcn,active,2020,52,0.024417467429934996,36.8,False,,,,,,,,,
lightgcn,active,2020,53,0.023704446305341836,37.4,False,,,,,,,,,
lightgcn,active,2020,54,0.023200540088655748,38.1,False,,,,,,,,,
lightgcn,active,2020,55,0.02268314894269431,38.7,True,0.009704704646949537,0.018105447789612157,0.03418803418803419,0.05555555555555555,0.007740902513891564,0.010569701419202346,0.013287954527270766,0.023297888550362685,khong cai thien (1/20)
lightgcn,active,2020,56,0.022185792337448128,39.6,False,,,,,,,,,
lightgcn,active,2020,57,0.02232769397115257,40.3,False,,,,,,,,,
lightgcn,active,2020,58,0.021468741301932593,40.9,False,,,,,,,,,
lightgcn,active,2020,59,0.021243819770462996,41.5,False,,,,,,,,,
lightgcn,active,2020,60,0.02041565551513037,42.2,True,0.009981652223081273,0.01868242190655327,0.03418803418803419,0.05982905982905983,0.00782162428392247,0.011737006025100348,0.013287954527270766,0.027626181340193935,best
lightgcn,active,2020,61,0.02018633485425217,43.1,False,,,,,,,,,
lightgcn,active,2020,62,0.020369659012130177,43.7,False,,,,,,,,,
lightgcn,active,2020,63,0.019409783552746605,44.4,False,,,,,,,,,
lightgcn,active,2020,64,0.019513699341666815,45.0,False,,,,,,,,,
lightgcn,active,2020,65,0.01912952285000359,45.6,True,0.010316297210907118,0.01902860637671794,0.029914529914529916,0.0641025641025641,0.007570998194698053,0.011952285346051918,0.013129676591215052,0.028014681728694323,best
lightgcn,active,2020,66,0.018825024433431214,46.6,False,,,,,,,,,
lightgcn,active,2020,67,0.018591282325719632,47.2,False,,,,,,,,,
lightgcn,active,2020,68,0.0182012189096533,47.9,False,,,,,,,,,
lightgcn,active,2020,69,0.017389945270932905,48.6,False,,,,,,,,,
lightgcn,active,2020,70,0.017272738982255727,49.2,True,0.010535547375344742,0.019444027740915543,0.03418803418803419,0.06837606837606838,0.0079080849766572,0.0129797522070766,0.013287954527270766,0.03151970497055967,best
lightgcn,active,2020,71,0.017349379761853113,50.3,False,,,,,,,,,
lightgcn,active,2020,72,0.01725778162444973,51.0,False,,,,,,,,,
lightgcn,active,2020,73,0.01654452965901125,51.6,False,,,,,,,,,
lightgcn,active,2020,74,0.01637580934306177,52.2,False,,,,,,,,,
