model,cohort,seed,epoch,loss,seconds,evaluated,valid_coverage@10,valid_coverage@20,valid_hit_rate@10,valid_hit_rate@20,valid_ndcg@10,valid_ndcg@20,valid_recall@10,valid_recall@20,note
bt_dkgrec_l05,original,2021,1,0.6740420783316491,16.8,False,,,,,,,,,
bt_dkgrec_l05,original,2021,2,0.6173980983876063,33.7,False,,,,,,,,,
bt_dkgrec_l05,original,2021,3,0.5311950569954031,50.6,False,,,,,,,,,
bt_dkgrec_l05,original,2021,4,0.44525262709680474,67.1,False,,,,,,,,,
bt_dkgrec_l05,original,2021,5,0.3751306960950955,83.4,True,0.003461624720876035,0.005914015192144549,0.03985507246376811,0.05253623188405797,0.016126885696368613,0.017835891821147986,0.03294722588200849,0.03913225541515015,best
bt_dkgrec_l05,original,2021,6,0.31992881569103837,102.2,False,,,,,,,,,
bt_dkgrec_l05,original,2021,7,0.27618119179543626,119.0,False,,,,,,,,,
bt_dkgrec_l05,original,2021,8,0.24043252810043084,135.7,False,,,,,,,,,
bt_dkgrec_l05,original,2021,9,0.21043928368751105,152.4,False,,,,,,,,,
bt_dkgrec_l05,original,2021,10,0.1864044075337187,168.9,True,0.004436730276052383,0.008054371885756632,0.04710144927536232,0.07427536231884058,0.020322409276304736,0.025132142000127464,0.034537908644029926,0.052300005980402624,best
bt_dkgrec_l05,original,2021,11,0.1648402076524769,187.7,False,,,,,,,,,
bt_dkgrec_l05,original,2021,12,0.14669006280690908,204.3,False,,,,,,,,,
bt_dkgrec_l05,original,2021,13,0.13072470268941858,221.0,False,,,,,,,,,
bt_dkgrec_l05,original,2021,14,0.11722466952006486,237.5,False,,,,,,,,,
bt_dkgrec_l05,original,2021,15,0.1060747889212631,254.0,True,0.005294823164607569,0.009595038662935262,0.06159420289855073,0.08333333333333333,0.026445992040336957,0.03072435832702807,0.04381250415050949,0.059853241794508,best
bt_dkgrec_l05,original,2021,16,0.09542041063492095,272.7,False,,,,,,,,,
bt_dkgrec_l05,original,2021,17,0.08682037262155197,289.3,False,,,,,,,,,
bt_dkgrec_l05,original,2021,18,0.07890383769108811,305.9,False,,,,,,,,,
bt_dkgrec_l05,original,2021,19,0.07210502534839011,322.4,False,,,,,,,,,
bt_dkgrec_l05,original,2021,20,0.06661454214369321,338.9,True,0.006089534192076292,0.010906555634647451,0.059782608695652176,0.08695652173913043,0.026233721152578045,0.032014949859330864,0.04286250182989313,0.06409421184163748,best
bt_dkgrec_l05,original,2021,21,0.06122753398173389,357.4,False,,,,,,,,,
bt_dkgrec_l05,original,2021,22,0.05664528127047048,374.0,False,,,,,,,,,
bt_dkgrec_l05,original,2021,23,0.05255013801322972,390.5,False,,,,,,,,,
bt_dkgrec_l05,original,2021,24,0.04883792735296135,407.1,False,,,,,,,,,
bt_dkgrec_l05,original,2021,25,0.04581362996034321,423.7,True,0.006655095414078574,0.01199867385644496,0.05615942028985507,0.08333333333333333,0.026429442056854553,0.031907949308432014,0.04173025545308154,0.06166365628608192,khong cai thien (1/20)
bt_dkgrec_l05,original,2021,26,0.043157107901876504,442.2,False,,,,,,,,,
bt_dkgrec_l05,original,2021,27,0.04055510787579429,458.7,False,,,,,,,,,
bt_dkgrec_l05,original,2021,28,0.03788324192111085,475.3,False,,,,,,,,,
bt_dkgrec_l05,original,2021,29,0.0361702452815621,491.8,False,,,,,,,,,
bt_dkgrec_l05,original,2021,30,0.03421073122408545,508.4,True,0.0070743908028044035,0.01272512749505134,0.05615942028985507,0.08152173913043478,0.026710642550149415,0.03211450007505762,0.041938405797101445,0.061611064056716236,best
bt_dkgrec_l05,original,2021,31,0.03245780358866048,526.9,False,,,,,,,,,
bt_dkgrec_l05,original,2021,32,0.030982570130716116,543.5,False,,,,,,,,,
bt_dkgrec_l05,original,2021,33,0.029320324327084858,560.1,False,,,,,,,,,
bt_dkgrec_l05,original,2021,34,0.028202311243110855,576.6,False,,,,,,,,,
bt_dkgrec_l05,original,2021,35,0.026926180224522887,593.2,True,0.007571694635944341,0.013495460883640654,0.057971014492753624,0.08514492753623189,0.0275735868880006,0.03348656395702862,0.042844202898550725,0.0650601947703397,best
bt_dkgrec_l05,original,2021,36,0.025751586844681776,611.7,False,,,,,,,,,
bt_dkgrec_l05,original,2021,37,0.024858705875820026,628.3,False,,,,,,,,,
bt_dkgrec_l05,original,2021,38,0.02398792332359544,644.8,False,,,,,,,,,
bt_dkgrec_l05,original,2021,39,0.023150769504575397,661.4,False,,,,,,,,,
bt_dkgrec_l05,original,2021,40,0.022537322299132943,678.0,True,0.007908106052480181,0.014280420855557615,0.06159420289855073,0.09057971014492754,0.027849429444239026,0.03365561955119185,0.04468455256498735,0.0661079719730082,best
bt_dkgrec_l05,original,2021,41,0.021724980059731325,696.5,False,,,,,,,,,
bt_dkgrec_l05,original,2021,42,0.02100938319567997,713.0,False,,,,,,,,,
bt_dkgrec_l05,original,2021,43,0.020307269772768304,729.6,False,,,,,,,,,
bt_dkgrec_l05,original,2021,44,0.019809799725519293,746.2,False,,,,,,,,,
bt_dkgrec_l05,original,2021,45,0.019339089561589626,762.8,True,0.008307899330102484,0.015070256355250456,0.06159420289855073,0.09601449275362318,0.0286450994554695,0.034930372254072216,0.044986484932137104,0.0673081531324285,best
bt_dkgrec_l05,original,2021,46,0.01869450419624716,781.2,False,,,,,,,,,
bt_dkgrec_l05,original,2021,47,0.018279998306570417,797.8,False,,,,,,,,,
bt_dkgrec_l05,original,2021,48,0.01778944790887079,814.3,False,,,,,,,,,
bt_dkgrec_l05,original,2021,49,0.017495708490896045,830.9,False,,,,,,,,,
bt_dkgrec_l05,original,2021,50,0.01707022123911,847.5,True,0.008658937329965968,0.015591937827269801,0.06340579710144928,0.09963768115942029,0.02931158162894153,0.03646016665862163,0.045099709569818264,0.07061377883388753,best
bt_dkgrec_l05,original,2021,51,0.01669208537643694,865.9,False,,,,,,,,,
bt_dkgrec_l05,original,2021,52,0.01626646098320199,882.4,False,,,,,,,,,
bt_dkgrec_l05,original,2021,53,0.01601232100964835,899.0,False,,,,,,,,,
bt_dkgrec_l05,original,2021,54,0.015747136550589385,915.6,False,,,,,,,,,
bt_dkgrec_l05,original,2021,55,0.015312499259936609,932.2,True,0.008873460552104766,0.016074615077082095,0.06884057971014493,0.10144927536231885,0.029241680011510764,0.03583647320656436,0.04617477178618483,0.07063207776522994,khong cai thien (1/20)
bt_dkgrec_l05,original,2021,56,0.015126664139130474,950.6,False,,,,,,,,,
bt_dkgrec_l05,original,2021,57,0.014727400974323413,967.2,False,,,,,,,,,
bt_dkgrec_l05,original,2021,58,0.014550681225127596,983.8,False,,,,,,,,,
bt_dkgrec_l05,original,2021,59,0.014312581545467681,1000.4,False,,,,,,,,,
bt_dkgrec_l05,original,2021,60,0.014120049564164556,1016.9,True,0.009087983774243562,0.016640176299084375,0.07065217391304347,0.09782608695652174,0.030360066447807855,0.03578582356412674,0.05113835691281343,0.07089009269715792,khong cai thien (2/20)
bt_dkgrec_l05,original,2021,61,0.013964705856888297,1035.4,False,,,,,,,,,
bt_dkgrec_l05,original,2021,62,0.013590309348259747,1051.9,False,,,,,,,,,
bt_dkgrec_l05,original,2021,63,0.013487216663862366,1068.5,False,,,,,,,,,
bt_dkgrec_l05,original,2021,64,0.013403647508302642,1085.0,False,,,,,,,,,
bt_dkgrec_l05,original,2021,65,0.013074685816091594,1101.6,True,0.00941951966300352,0.017166733298879605,0.07246376811594203,0.10144927536231885,0.030820567965992147,0.03669378499276167,0.051156655844155845,0.07281491153773763,best
bt_dkgrec_l05,original,2021,66,0.012837274524826687,1120.1,False,,,,,,,,,
bt_dkgrec_l05,original,2021,67,0.012725055910555411,1136.7,False,,,,,,,,,
bt_dkgrec_l05,original,2021,68,0.012531849661642355,1153.3,False,,,,,,,,,
bt_dkgrec_l05,original,2021,69,0.012480448500252291,1169.8,False,,,,,,,,,
bt_dkgrec_l05,original,2021,70,0.012278465138202932,1186.4,True,0.009624291829590553,0.01755189999317426,0.07427536231884058,0.09601449275362318,0.03103569614044537,0.03580473099674595,0.05340284966643662,0.07067553772716816,khong cai thien (1/20)
bt_dkgrec_l05,original,2021,71,0.012071150457494226,1204.8,False,,,,,,,,,
