model,cohort,seed,epoch,loss,seconds,evaluated,valid_coverage@10,valid_coverage@20,valid_hit_rate@10,valid_hit_rate@20,valid_ndcg@10,valid_ndcg@20,valid_recall@10,valid_recall@20,note
lightgcn,original,2022,1,0.6247731614139604,11.1,False,,,,,,,,,
lightgcn,original,2022,2,0.4376590205028246,22.2,False,,,,,,,,,
lightgcn,original,2022,3,0.24556090163918726,33.3,False,,,,,,,,,
lightgcn,original,2022,4,0.14395922538437048,44.4,False,,,,,,,,,
lightgcn,original,2022,5,0.09564467159905161,55.4,True,0.005085175470244654,0.00916599221865767,0.03804347826086957,0.05615942028985507,0.014358820024979553,0.018632854980947463,0.02766894729137292,0.04321846419958548,best
lightgcn,original,2022,6,0.06966818540450978,68.3,False,,,,,,,,,
lightgcn,original,2022,7,0.05392512489428243,79.2,False,,,,,,,,,
lightgcn,original,2022,8,0.04372223498492869,90.2,False,,,,,,,,,
lightgcn,original,2022,9,0.036588886212478806,101.2,False,,,,,,,,,
lightgcn,original,2022,10,0.03097376835961212,112.2,True,0.006752605969596209,0.012179068384152584,0.03985507246376811,0.059782608695652176,0.016209488323062824,0.020496590447575864,0.03185386473429951,0.04682335367404017,best
lightgcn,original,2022,11,0.026935344856702546,124.9,False,,,,,,,,,
lightgcn,original,2022,12,0.023870826431092482,136.0,False,,,,,,,,,
lightgcn,original,2022,13,0.021161008900108396,147.0,False,,,,,,,,,
lightgcn,original,2022,14,0.01926014698268736,158.0,False,,,,,,,,,
lightgcn,original,2022,15,0.017422389754559026,169.0,True,0.0076253254414790405,0.013851374411280022,0.04528985507246377,0.06702898550724638,0.018484890792021834,0.022690879907838978,0.03413665641926511,0.0491384952554861,best
lightgcn,original,2022,16,0.01567481661729083,181.7,False,,,,,,,,,
lightgcn,original,2022,17,0.014782372178063984,192.7,False,,,,,,,,,
lightgcn,original,2022,18,0.013620642975436434,203.7,False,,,,,,,,,
lightgcn,original,2022,19,0.012645834214128265,214.7,False,,,,,,,,,
